signal_strength,network_type,tower_distance,user_speed,call_duration,weather_condition,dropped_call
-82,5G,2.8565501416793024,81.91831260530388,367.764991443493,Clear,1
-103,3G,1.3830464468348755,28.274742142997805,157.2441617832666,Foggy,1
-117,3G,6.79347149100267,113.22889728422126,247.21068373049323,Clear,1
-61,2G,9.445424823095776,104.5501952878383,408.22051696503047,Foggy,1
-107,4G,2.762783512794321,34.73290739618499,139.90686500452506,Foggy,1
-112,3G,4.806525417715729,93.98585455880145,363.1789050197992,Rainy,1
-68,4G,6.379963423140922,96.38938855977675,419.9814577577621,Rainy,1
-119,3G,9.994715857334743,118.38757369372925,58.84530510204072,Clear,1
-61,5G,1.137599843475964,71.7407984214822,301.0299430363344,Clear,0
-50,5G,5.03585091510652,9.835888157239463,161.5326178048935,Rainy,0
-77,3G,3.9126891870347507,77.62046747116571,436.0098818188365,Foggy,1
-113,5G,8.671619635701315,74.99756980512423,117.78552757947958,Foggy,1
-74,3G,4.812080537015393,76.60206929045181,535.8815597451733,Rainy,0
-86,5G,1.1986774933929663,36.85747777250538,261.4100952284045,Foggy,1
-43,2G,6.3807990383371775,103.16155020963996,122.81180303299433,Rainy,1
-85,2G,7.73072812081241,115.13666195464943,265.62296882844595,Rainy,1
-71,2G,0.12852439148958447,26.125501557378183,248.20253887107407,Clear,0
-117,4G,8.603671185664233,10.578258976397334,260.20678089875764,Clear,1
-119,4G,1.94162770005609,23.34420398021809,353.4089696309809,Rainy,1
-115,2G,5.56548671006844,98.46625671068625,315.09836632355484,Clear,1
-67,4G,4.2163952568057566,81.1973561783817,94.11739335013709,Rainy,1
-117,5G,7.224572784444251,76.32568108069519,44.01954822474861,Foggy,1
-67,3G,3.7744999863788444,48.21517621313094,439.0021919922916,Foggy,1
-58,3G,8.710655449148936,69.33935658137229,338.0318743773465,Foggy,1
-103,3G,7.331913973492023,36.94489503292409,218.60545700716193,Foggy,1
-77,2G,6.512360393522923,57.264009530155356,485.97290438635395,Rainy,0
-87,4G,7.982781896072257,95.16756340447871,235.89479218526938,Foggy,1
-47,5G,7.564828045790985,117.74899169465546,478.5992283123615,Foggy,1
-59,5G,0.45579288172337806,111.89867083077623,186.92489586986295,Foggy,1
-107,2G,4.007870103063799,112.06391314154986,48.34295203939385,Foggy,1
-73,5G,9.314992243433249,48.26684818165349,559.9206178109578,Rainy,1
-106,5G,1.3446702630230396,56.25478566081491,239.757921922417,Foggy,1
-49,5G,7.3972558492773075,84.67624756427779,476.6520808453798,Clear,1
-43,5G,9.748458932219764,110.66303136615412,171.09075926727115,Clear,1
-59,4G,0.6167664275452192,17.039311122250158,389.58724171357534,Clear,0
-81,5G,6.853719418203443,36.50902365926349,524.6199695883483,Clear,0
-41,3G,4.734725998880201,16.709621351293144,29.778193292288293,Clear,0
-68,2G,5.833835028209749,73.44102359513464,499.2282799882231,Clear,0
-97,4G,0.944879231194816,36.75611962650451,344.94313795829754,Rainy,0
-95,5G,0.5257688234827008,39.13294230150881,366.4456935755987,Clear,0
-61,4G,6.701979939454125,8.50991513855751,316.27901047955964,Foggy,1
-80,5G,8.250763355225107,41.975527416911035,525.3126864537672,Clear,1
-92,3G,7.841951815836376,103.49958088819024,30.842847555204287,Rainy,1
-106,2G,5.48367670587575,27.968737426900194,160.31189296382962,Clear,1
-76,5G,1.088681529248164,83.42249594520788,526.0787106211974,Foggy,1
-56,5G,6.911639993976537,75.55540139263113,452.6456930065138,Foggy,1
-50,5G,2.494699947186045,103.61815300429384,15.498870306270478,Rainy,1
-112,5G,9.119580157397097,15.874553718124588,312.6187385097766,Rainy,1
-120,2G,8.398827059502478,117.31079524140519,320.09574502404155,Rainy,1
-113,2G,7.12289137416517,69.91543752484387,243.52487040110668,Rainy,1
-58,3G,9.493574962728191,119.45689828161773,181.94903257688387,Clear,1
-110,2G,0.411076032961602,109.38176710390209,410.62628599534355,Clear,1
-113,5G,7.388384208101543,26.582072653572695,128.63532649932853,Foggy,1
-86,3G,3.369403515430413,6.7394411883975724,480.3743944326651,Rainy,0
-86,3G,9.070052268295017,30.676691255443384,482.8071106566457,Rainy,1
-88,3G,2.740084446953578,63.30763787993038,252.0805553558282,Clear,0
-116,5G,7.276079343218669,20.5915640478228,173.71106649124036,Rainy,1
-80,4G,8.788705494542736,20.09516934215862,173.90751804647437,Foggy,1
-93,5G,0.5124025019885561,55.51122565261837,291.96333777774504,Foggy,1
-114,2G,4.036711037961157,3.992156540323011,433.14963872586844,Rainy,1
-48,2G,7.646859417017192,14.626569903872454,218.52687114134596,Foggy,1
-49,5G,4.6036970061251115,49.90336072895371,367.9757905473622,Foggy,1
-109,5G,2.745801034956594,7.575589104955975,232.57825404664362,Clear,1
-87,3G,2.2760729533495816,47.61060677466352,186.19129754507307,Foggy,1
-88,5G,1.4020308424721415,56.88075191381341,19.791411969897524,Rainy,0
-73,3G,8.585582642577194,54.15199368877373,7.32889291255743,Rainy,1
-98,2G,5.796018492190404,104.30098288837047,140.18856831004265,Foggy,1
-59,3G,0.8562109554154143,63.607494606207894,246.81174064659228,Rainy,0
-84,5G,3.887545203349291,56.157655497365205,511.50039458042585,Clear,0
-77,2G,3.740563142970588,49.28510944699995,480.09812454360315,Foggy,1
-86,4G,1.8992179880236837,98.11480539653834,163.963331239854,Foggy,1
-56,3G,4.411525492174688,107.40679247997997,150.5015635756581,Foggy,1
-74,2G,3.387783717392051,102.3890963036541,140.25663228666633,Rainy,1
-43,3G,3.4838566843726073,80.8255893757669,206.84621761467588,Rainy,1
-118,2G,7.416362922100791,16.483409516240908,301.4282381392028,Foggy,1
-120,2G,2.3103075165014437,33.22439633904147,266.0073243587874,Rainy,1
-116,3G,6.454413592668018,5.527567641837292,134.87255327498877,Rainy,1
-107,4G,5.749431276421255,111.69888899881369,82.61858891645274,Foggy,1
-94,2G,5.724115872144886,79.29582356290925,12.483798429286253,Foggy,1
-112,2G,6.663772726803582,89.56354611758898,96.60812700656979,Rainy,1
-42,2G,5.528982158336974,37.38860874986747,424.68704026550034,Foggy,1
-106,4G,8.804625636979209,101.47842267328109,149.96494876062184,Foggy,1
-79,4G,6.788242910307572,31.152394045017424,283.8180770222983,Foggy,1
-44,5G,5.514936188576742,0.1972508534939621,356.8241836093306,Foggy,1
-70,3G,8.314654890847684,45.169795502483275,532.6703371848063,Rainy,1
-58,4G,6.100850992841449,68.49137771508882,533.8687835440846,Foggy,1
-69,3G,2.9823280530732723,57.44458295586271,448.7115715404086,Clear,0
-117,5G,2.150239689948055,103.44913710919164,25.918410268858345,Foggy,1
-98,3G,1.6080450780605202,12.648634314740033,347.16689935582184,Clear,0
-106,4G,9.004606604206407,66.45881287604706,473.01716514474634,Foggy,1
-78,3G,7.130340774800851,61.55752197850889,15.28638663420111,Clear,0
-92,4G,9.380046537826775,33.767157860659566,332.0623451256641,Clear,1
-85,3G,6.072588876577935,98.66737350924127,515.3696667426875,Foggy,1
-108,4G,4.786668726799634,90.34183870586476,287.09073512614884,Foggy,1
-89,4G,0.6911932408118043,87.94310247981971,7.443190723981829,Foggy,1
-50,3G,6.749258587305695,105.14309739234673,11.552948209686438,Clear,1
-62,5G,5.863866721705488,86.73415207458254,252.89844226118157,Rainy,1
-93,2G,9.903068046517452,27.820955005767175,97.23015711296897,Rainy,1
-55,5G,2.4676719000442064,84.66752539796293,400.34814097048945,Foggy,1
-79,3G,5.354299817339675,36.924337606781265,426.7355626191616,Rainy,0
-76,5G,6.544477617668919,29.060958041696466,110.83847829907401,Rainy,0
-59,4G,6.481452629949202,8.760431147955279,533.6773066720685,Foggy,1
-64,2G,5.656806075189187,89.2834296417212,267.9351677624609,Clear,1
-115,3G,7.791587302239532,85.32011543397735,89.99331501719462,Foggy,1
-93,3G,2.1293139743154827,28.13993732089125,459.7297008512903,Rainy,0
-93,3G,7.283709282716717,89.92548200689872,475.03482750997983,Clear,1
-77,2G,6.235372257187583,110.14090597122636,385.3808062359472,Rainy,1
-91,4G,8.971143606766276,12.96347489898951,512.8120041555192,Clear,1
-59,3G,8.487224946432459,27.916396606412995,443.73691835824945,Rainy,1
-46,5G,3.2199556874122774,90.03129529047786,529.9124136500594,Foggy,1
-59,3G,2.8347495172540156,32.94080082084939,263.1633888488603,Rainy,0
-120,3G,9.818367906139233,74.95967691404601,449.82029121916827,Rainy,1
-94,3G,5.31992529106104,9.739706935645742,599.8521802402814,Clear,0
-59,3G,9.073567542752924,54.264297492424646,436.3340625241734,Rainy,1
-44,4G,1.722422135426774,88.69097063915437,72.93934924109364,Foggy,1
-118,5G,6.4639072565217255,82.3816731651903,313.3996398453639,Foggy,1
-51,4G,8.117615854869802,97.80865208109682,354.4719357896016,Foggy,1
-49,5G,9.479212970905824,105.29425519238026,108.65535166747763,Clear,1
-94,3G,3.4396673960685327,92.78202015105099,577.9205223359323,Clear,1
-112,2G,7.277313582248119,80.59052915267112,109.4699676925967,Rainy,1
-59,4G,5.434248789492228,3.806699017923738,110.64696222936755,Rainy,0
-84,2G,0.7002263680580351,64.19600080913328,549.5244470948602,Rainy,0
-70,4G,6.93099739935854,4.523726989782335,281.7972327073943,Clear,0
-77,3G,6.93195592655465,96.96813805392271,42.59702616833714,Clear,1
-97,4G,9.313007367980717,38.48694293519491,360.9215624634245,Rainy,1
-42,3G,5.023393217072827,67.49152489415052,363.0866774366635,Clear,0
-62,4G,2.3794841150340953,33.53343687826831,43.37795141850427,Clear,0
-89,3G,0.5411818521419236,93.90001732563523,583.6508849020289,Foggy,1
-69,3G,4.214857648190466,106.38030319702831,328.69782935027246,Foggy,1
-59,5G,3.0889753307672683,47.837099305567676,338.07845469695974,Rainy,0
-63,3G,7.634774229636368,103.55068722131868,314.4686716289247,Rainy,1
-69,5G,3.6072508719263614,32.049000894759885,368.3854088885489,Foggy,1
-109,3G,9.495804843516956,64.15931076906286,162.25835290038418,Clear,1
-82,2G,9.626871009579064,103.05137158064447,175.90860204503028,Rainy,1
-119,3G,6.24699504315531,39.10576111389484,309.24675842869897,Rainy,1
-118,2G,9.293736841447341,114.4850718093703,484.97808358432985,Rainy,1
-65,2G,7.632458010693506,14.625540213766035,34.669423014036425,Clear,0
-62,3G,5.513910445653749,2.193008366820748,364.02550627104637,Foggy,1
-119,2G,1.8850485606855036,108.49624230938288,485.0329947912568,Rainy,1
-119,5G,4.640119640787016,8.237839937744669,98.36577686215016,Foggy,1
-67,4G,5.652657187289914,119.026703513699,13.938412478436945,Foggy,1
-120,3G,8.6532196492766,114.16762343749274,191.06441060916754,Clear,1
-102,2G,4.8652004277030825,16.44250920435848,354.9455055041109,Clear,1
-119,3G,8.98697925951177,64.5101550831079,87.27848817582489,Clear,1
-68,5G,6.7760548923323425,22.19043569605732,258.54281072862887,Clear,0
-77,3G,1.4562907242313468,51.37862076361438,333.6312909376954,Clear,0
-89,3G,9.95031555631842,7.371015511179921,361.3354413806037,Clear,1
-51,2G,5.3196033414637345,26.870950535590744,168.2749739952232,Rainy,0
-89,5G,3.979397134449881,43.59273556786795,243.01763341184338,Foggy,1
-53,4G,6.625226268248312,52.63770002952658,468.11184129519745,Clear,0
-66,4G,1.178043808412287,117.29955098506719,565.0227430018078,Rainy,1
-46,2G,6.401732602858208,96.94387748207775,517.8187970153631,Foggy,1
-65,3G,5.032536404942802,88.48919331743355,340.748683531392,Clear,1
-104,2G,4.126073292985973,64.4449577690369,249.1242177516482,Clear,1
-83,2G,9.534898209671102,100.7997312725212,203.10918555099383,Rainy,1
-97,2G,5.273143195647327,40.71874027868533,79.34915681999075,Foggy,1
-52,3G,2.2692630467523904,85.06789353279792,68.39799209358722,Clear,1
-51,5G,4.643738445835257,119.25407704538065,414.57278682362636,Foggy,1
-110,2G,9.201935305269458,37.75546907222385,159.57767762184042,Rainy,1
-105,3G,1.8433451661728872,80.88210418607608,156.52370342730583,Clear,1
-48,5G,2.2181746830135456,101.3177836982859,598.9260574142825,Foggy,1
-62,2G,0.2289927207951291,109.89691000208067,116.81594493490826,Rainy,1
-51,4G,0.24048148901809507,86.15192291281221,93.09555689585365,Rainy,1
-41,5G,8.310977106889274,34.03295081005635,63.71771051715277,Clear,1
-118,2G,7.348013807745263,39.153858188273574,349.9841803742437,Foggy,1
-101,5G,3.614906458874387,2.490963854875705,378.57897647125037,Clear,1
-62,5G,7.0132804565529705,91.30631732058116,222.31061612284475,Clear,1
-85,5G,4.012538670468705,5.128752727434165,323.5709346293233,Foggy,1
-102,5G,9.533678280378492,103.75828255232949,474.097720912223,Foggy,1
-54,5G,9.673821546117745,14.239273736944655,491.7719801514403,Foggy,1
-102,5G,3.9886583805124998,20.625181456310912,574.9576850508107,Rainy,1
-101,2G,8.556796872774594,57.18317649986848,495.43945162411035,Rainy,1
-50,4G,7.753581512804915,88.54564982024908,341.0806548468688,Foggy,1
-69,3G,3.168999378000714,16.68026462388932,111.89589467292336,Rainy,0
-88,5G,2.3971943061209493,52.808529007979814,64.35931683319123,Clear,0
-81,3G,4.636523038889055,57.942152929212575,37.434574496961226,Foggy,1
-82,2G,7.835353522082622,25.47427700023096,401.5828699123033,Clear,0
-120,5G,9.60566106881458,13.86700520167581,485.4840719618059,Foggy,1
-110,4G,7.659432781779068,100.37051075827674,307.66695065702703,Clear,1
-64,3G,8.566549151681864,60.295877971531866,37.554934026015765,Foggy,1
-71,5G,6.0703366310881135,1.7257483180983568,323.6049918818462,Clear,0
-98,2G,8.370537525337046,96.35775615709247,561.7708106071075,Foggy,1
-90,4G,7.865766494233835,117.69525664975018,360.57984860481395,Foggy,1
-79,3G,3.832156865070173,72.71114344970968,486.60935563537487,Rainy,0
-114,3G,5.564703990995139,60.445006450088485,481.0908257930916,Clear,1
-105,5G,8.067055907697979,105.4099035653954,559.6168143694885,Rainy,1
-61,4G,0.555961668480568,114.30201476215184,463.2861155616746,Clear,1
-119,4G,8.099984895322716,90.54442990829526,449.8818058377883,Rainy,1
-120,4G,1.861092428085332,53.45435156811454,144.29108565753114,Foggy,1
-73,4G,5.195367809502246,71.06656791977285,40.655467416043464,Rainy,0
-109,2G,8.101926851603782,84.11224380215991,312.9716817070156,Rainy,1
-52,4G,2.612828673751279,23.312828520216172,79.03835372831934,Foggy,1
-84,3G,2.533493649130915,53.66412386597256,577.5065463854048,Rainy,0
-89,3G,4.087367544776294,99.5785517660742,177.505233766652,Foggy,1
-112,2G,8.956963696018581,78.56704181981316,512.5018010136544,Clear,1
-102,3G,0.10438353622835805,49.34448806542249,235.6366519954633,Rainy,1
-73,3G,9.023692656755156,79.60350408176177,197.30057866513957,Foggy,1
-41,4G,1.6226895439519171,14.186689448695184,561.4193505640895,Foggy,1
-118,3G,9.901855123068072,48.17971326778516,221.17693039130327,Rainy,1
-101,2G,9.552985231080834,95.17542455556676,237.22130565456618,Clear,1
-97,4G,4.997284376953704,26.46105445639776,68.12460886968096,Rainy,0
-67,5G,5.175930453345019,22.315380906890123,403.915765843093,Foggy,1
-88,4G,4.867338468730957,114.09823918997178,176.85945161412053,Clear,1
-97,2G,6.390892092029274,25.187715550347683,353.4344798645068,Rainy,0
-46,4G,0.9981448521258173,31.31022955802017,356.85426391165964,Foggy,1
-49,4G,0.42291768858150847,116.35391266852055,432.92381887948136,Rainy,1
-85,2G,0.6712589913173986,88.16502843180308,448.41868427260255,Clear,1
-83,4G,4.499216957490992,83.95158396282338,311.099198468916,Clear,1
-96,2G,2.827924598272886,102.35116606254975,201.94020882402478,Clear,1
-103,2G,6.258191667472838,13.898769868415313,503.2832824266667,Clear,1
-55,5G,9.925178664810312,84.71474838960086,189.3700613980484,Clear,1
-67,3G,3.924599413457013,60.44263311938867,306.96791120925224,Rainy,0
-86,3G,5.781028415634682,99.49807683409678,243.74528700621818,Clear,1
-41,4G,4.214478569482621,60.97700623982332,513.7716396519645,Clear,0
-60,4G,8.487989510446408,74.42896251226945,261.9915260317681,Foggy,1
-80,5G,9.032140394276157,57.32905516794431,234.72901735830314,Clear,1
-88,5G,8.785820560832075,57.379070826701295,415.4450972740943,Foggy,1
-53,5G,9.74628516292465,92.15639736741979,363.45246036755844,Foggy,1
-88,2G,0.37243993289011146,75.42796807767398,68.8118659300284,Foggy,1
-107,5G,8.414180005240757,75.99158419312926,307.3604397746581,Rainy,1
-100,5G,7.542544513087023,54.0338980597831,442.60964105828236,Rainy,0
-73,4G,2.3640746530636116,63.73313956050331,595.2844849318569,Foggy,1
-101,5G,9.567568924536523,89.48611994457448,379.34236621233987,Rainy,1
-113,2G,1.5669614894764603,99.11291029343019,225.32437453258407,Clear,1
-114,2G,6.827544278625693,83.58736825728553,139.56020188226046,Rainy,1
-54,4G,2.3264131464775337,110.88875866148197,524.3339893212255,Clear,1
-104,5G,4.370668422863339,98.43889057766411,489.66630120753416,Clear,1
-88,5G,7.219682979751233,67.42365477714222,144.184078363734,Rainy,0
-73,2G,5.676913956127162,80.56872871724842,124.37609363721121,Rainy,1
-45,5G,4.3322681301483055,111.15699323054352,430.5063822026495,Foggy,1
-62,5G,3.330750466226674,74.300165309167,192.3964768416619,Rainy,0
-99,5G,8.412630591517024,98.97683375757968,187.3072850253649,Rainy,1
-91,3G,1.523762068116656,82.65726043079844,95.61269700525487,Rainy,1
-83,4G,4.358018477645021,66.23236332725598,162.0654342273488,Clear,0
-70,3G,9.047199960573908,29.020583449842373,259.36699676762646,Clear,1
-67,4G,8.47391054955368,51.119702336211375,441.03881067708727,Clear,1
-113,2G,4.069323448483162,116.12913898004588,205.1033161761811,Foggy,1
-94,5G,7.654772799652952,78.931845992712,200.5195819905064,Foggy,1
-94,4G,8.249292224017706,67.72744564067875,174.52338526869931,Foggy,1
-100,3G,8.899985497635935,111.95479506338728,289.57878216907056,Clear,1
-91,5G,5.490607113587357,70.38141372449385,112.47883527508262,Rainy,0
-93,2G,2.124162771941647,63.12990221008835,293.9502867491147,Foggy,1
-57,4G,2.6275598573889236,91.11730261802462,423.98445593584046,Foggy,1
-52,4G,3.027377273011882,85.51987427838533,22.725349899410197,Clear,1
-60,4G,5.978644560015193,23.179201009011926,10.81873128192831,Foggy,1
-73,5G,0.42481527887322357,56.55699294889454,49.69813154193299,Rainy,0
-102,3G,6.396820440921686,56.70185313835023,323.71773672822667,Clear,1
-117,3G,3.707106960439497,45.386941829201376,513.4007744953151,Clear,1
-86,4G,3.0228938446474576,62.07521785827038,7.906257282049906,Rainy,0
-57,2G,8.807016050208452,49.57288772725731,562.3134762278852,Rainy,1
-72,2G,4.654023716249909,23.921458736541975,68.2357143844688,Rainy,0
-104,3G,1.0410251507736585,49.483978472961724,505.9801991946446,Foggy,1
-77,2G,8.284793003459846,8.673233708781192,292.2985851648533,Rainy,1
-91,3G,0.5716484486214154,69.09430353292939,397.31764543091214,Clear,0
-75,4G,7.294817319265147,102.43854587293343,308.8563757460735,Rainy,1
-115,3G,7.7616715955295845,87.03445012254663,288.843693981716,Clear,1
-84,3G,3.590765798695696,43.24728480649335,501.7651598768129,Clear,0
-97,4G,8.265399777150089,10.448544669276982,454.7523958428507,Foggy,1
-75,2G,5.205028117978888,24.25792790703249,292.6243307311875,Rainy,0
-68,3G,4.686607167400688,65.45884085938029,71.42337799065665,Foggy,1
-61,3G,0.5494924865400562,24.846850005963944,73.66476079207284,Rainy,0
-58,4G,2.9712890171241684,65.2767733541961,481.9159791278499,Rainy,0
-89,2G,9.316998711764468,27.79188297166787,319.9874197017824,Rainy,1
-88,3G,3.9790572365066503,101.87086433712874,291.54553843052076,Rainy,1
-54,4G,5.512335153512006,47.67257674085516,409.9372706096255,Rainy,0
-103,3G,5.367014621944093,29.466075113338928,516.0107421314849,Clear,1
-96,5G,5.945267789244664,97.47914162964739,379.1795209259166,Clear,1
-67,4G,0.7071764608684978,41.140675776654085,458.894501896155,Rainy,0
-63,2G,3.68554492250741,13.378522540653833,460.3359618495894,Clear,0
-54,2G,7.258969911437286,68.449138968437,216.97556203181065,Foggy,1
-75,2G,2.085546485622531,69.78770453255865,168.07950140639244,Foggy,1
-97,2G,2.1154259377089684,85.7634810282881,481.6926199692194,Foggy,1
-89,3G,0.19989700622134482,28.82633198500627,229.4213811116249,Rainy,0
-74,3G,4.431071073421276,53.25256069106941,542.4849238810095,Rainy,0
-98,2G,8.839070368666878,33.88415028511875,46.46596455442118,Clear,1
-55,2G,0.6138193415143592,9.714448333882576,39.63941968482709,Clear,0
-94,2G,1.9920752240104262,105.193659241907,556.5674752603379,Clear,1
-119,3G,3.1698369295932753,87.46437653860094,390.83067393795375,Foggy,1
-104,2G,7.3440748919857075,36.175567135056085,230.86161708675772,Foggy,1
-88,2G,6.442292368745607,71.92475914463836,454.26094681562876,Foggy,1
-112,5G,4.217844655360365,24.151654576136693,405.03445194621656,Foggy,1
-78,5G,7.614782498657919,106.82839461549251,321.06462285765974,Clear,1
-73,2G,6.135347015403329,13.788761203429235,63.82963888427756,Rainy,0
-82,4G,8.970803916606469,0.46045746093610784,488.24685443918713,Rainy,1
-79,2G,8.198464816473061,60.240983728701856,520.2837984549717,Foggy,1
-95,5G,2.6028547002830855,69.97533881434431,107.44036968882622,Rainy,0
-71,4G,2.7872419185785824,69.47583843549653,511.05443292635465,Rainy,0
-96,4G,1.341029110344618,6.541431292539155,527.3191500548558,Rainy,0
-97,2G,3.4359507846028197,37.6852568302119,331.91002431166703,Foggy,1
-108,5G,9.995484795319033,59.903873620959814,395.4265265524988,Clear,1
-61,5G,4.116936569289104,25.989502275268904,232.4312054086224,Clear,0
-114,4G,2.2828355034221537,104.71510625830757,172.66603026801326,Rainy,1
-64,2G,7.648580556307975,10.453114735372084,434.5799724362287,Clear,0
-85,3G,5.470462934280295,58.48613300064515,517.8157136644058,Clear,0
-76,3G,1.5810543503168302,82.96992690157825,394.1761440086698,Foggy,1
-101,5G,3.8688278434925714,31.410132016137894,309.3964133346968,Foggy,1
-56,3G,4.203250183839499,74.90888843970218,99.56023627228208,Rainy,0
-113,5G,7.562914035635264,99.52621801708494,36.807933999866805,Rainy,1
-105,5G,0.3046465520298542,22.840437011405704,270.1866151968141,Rainy,1
-107,5G,2.763294503303274,110.06647101898353,34.36299039996565,Foggy,1
-45,3G,5.224203383023668,66.42702391948296,343.7541059847989,Clear,0
-106,5G,2.761582750283149,35.907840516127266,232.7238688340739,Foggy,1
-55,4G,6.321497069448089,51.70299304587249,455.52752621077184,Foggy,1
-89,2G,4.870488044818704,37.46302605436655,186.86085561752915,Clear,0
-58,2G,3.6809315231098485,87.01333919199793,357.8247070756221,Clear,1
-70,5G,9.497165406018071,95.55607960981587,324.9216954442848,Rainy,1
-96,2G,6.358379041945929,99.95248707823933,7.8038931857334894,Clear,1
-63,3G,1.3864195854526182,118.29218995028894,48.071691967264655,Clear,1
-58,3G,5.644907804689615,94.95411509960202,177.7690864291822,Clear,1
-59,2G,7.82924534668892,72.1660884826276,529.9298732073552,Clear,0
-99,3G,7.114048005178693,40.70643580701406,92.47389816536824,Rainy,0
-63,2G,1.803683370023068,65.35145384528992,427.98212662402227,Rainy,0
-63,2G,9.726957990497024,4.928180734848651,584.1531068606109,Clear,1
-72,2G,4.543255092891399,89.37900906358956,475.3876938512373,Clear,1
-69,5G,1.674347537028587,53.51466541105221,149.55249020379114,Rainy,0
-79,2G,1.8839379658686646,2.4027875678625144,545.4773299457836,Rainy,0
-51,5G,1.072526422671897,7.500832981249297,60.3987581224921,Clear,0
-106,2G,8.05482927350585,46.495975658610796,283.5444554130878,Foggy,1
-67,2G,1.3081018937863018,70.01058228221221,533.0874350972161,Rainy,0
-61,2G,1.3387400457032947,55.7044738742552,386.5530970078375,Rainy,0
-113,3G,8.519668986132293,74.30451807505858,251.11851601298082,Rainy,1
-68,5G,3.5115804360308407,57.63531105496269,179.2236557086154,Clear,0
-61,5G,0.4054932526499172,79.40446145776161,228.18414616441822,Clear,0
-116,2G,0.6137634652322677,26.295127760496104,307.8203597005253,Rainy,1
-53,2G,1.5074874223685661,13.54118246203457,194.83113827432038,Clear,0
-115,3G,2.2125941449593265,71.5720745550792,581.5358779389683,Clear,1
-74,3G,6.684947322960213,58.162742032356896,560.1812035743563,Rainy,0
-66,3G,1.6575301720180997,3.2241184853922356,523.0495235875209,Clear,0
-81,5G,1.276856472653013,45.6578262591643,255.98875213597879,Foggy,1
-69,5G,7.670719500615164,12.735070258919459,416.3245527544612,Clear,0
-105,5G,6.743447310213153,63.76281981032343,542.183437686399,Clear,1
-108,2G,4.409709792406838,47.49332155925169,511.00554516896216,Rainy,1
-91,5G,5.538166737653029,73.57822933236216,251.52457334202356,Rainy,0
-102,4G,3.188641801231543,96.6722662524286,71.86969934674512,Foggy,1
-104,4G,4.87675416033007,35.9602420609789,50.00006648155693,Clear,1
-58,3G,5.116059224929183,115.45225249980331,348.3531069092931,Foggy,1
-102,5G,3.93364898466315,64.27614007050893,387.36362145050435,Foggy,1
